#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0                  1.5                 3.54                    0                    0                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
                 0.3                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.299999999999999                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.299999999999999                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.299999999999999                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.299999999999999                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.299999999999999                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.299999999999999                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.299999999999999                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.299999999999999                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.299999999999999                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.299999999999999                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.299999999999999                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
   0.300000000000001                    0     3.37151696425842                    0                    1                   90
